web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,image_labels,REPLACED_LABELS,Ambience attributes,Human/ facial attributes,Objects/ animals,Product attributes,goal,Raised,people,time,updates,updates-href,createdby,today,no of days,shares
1543713409-1709,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/support-thomas-nicks-business,https://d2g8igdw686xgo.cloudfront.net/21347140_1498015344.0665.jpg,tree man vertebrate plant woody plant male grass recreation facial hair fun,tree  people  vertebrate plant woody plant male grass recreation  people   _people  fun,0.653225806,0.330645161,0.008064516,0.008064516,5000,2308,23,Raised by 23 people in 17 months,0,,6/21/17,12/5/18,531,440
1543712053-1205,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/ethical-business-support-group,https://d2g8igdw686xgo.cloudfront.net/34501528_1542174228403269_r.jpeg,green product globe grass world technology font graphics,green product globe grass world technology font graphics,0.011904762,0.011904762,0.011904762,0.964285714,38100,0,0,Campaign created 17 days ago,0,,11/13/18,12/5/18,21,0
1543711968-1171,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-me-get-my-business-start-up,https://d2g8igdw686xgo.cloudfront.net/29983886_15266731220_r.jpeg,facial hair head forehead glasses chin moustache beard headgear vision care selfie, people   _people   people   people  glasses  people  moustache beard  people gear vision  vehicle e selfie,0.008064516,0.975806452,0.008064516,0.008064516,5000,0,0,Campaign created 6 months ago,0,,5/18/18,12/5/18,200,0
1543713159-1620,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/wwbic-business-class,https://d2g8igdw686xgo.cloudfront.net/27327206_15171929070_r.jpeg,text web page map line product font area software water resources screenshot,text web page map line product font area software water resources screenshot,0.25,0.008064516,0.008064516,0.733870968,275,325,7,Raised by 7 people in 10 months,0,,1/29/18,12/5/18,309,19
1543713856-1877,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/save-a-business-amp-reunite-a-family,https://d2g8igdw686xgo.cloudfront.net/28661300_15220868740_r.jpeg,green public space asphalt water tree recreation senior citizen grass sedan fun,green public space asphalt water tree recreation senior citizen grass sedan fun,0.89516129,0.008064516,0.088709677,0.008064516,25400,2878,23,Raised by 23 people in 8 months,0,,3/26/18,12/5/18,253,232
1543711531-1019,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/mermaid-reese-teammermaidreese,https://d2g8igdw686xgo.cloudfront.net/34328678_1541690695673478_r.jpeg,water swimming pool leisure aqua swimming swimmer fun underwater vacation sea,water swimming pool leisure aqua swimming swimmer fun underwater vacation sea,0.885964912,0.00877193,0.00877193,0.096491228,25000,13525,110,Raised by 110 people in 23 days,   1,https://www.gofundme.com/mermaid-reese-teammermaidreese#updates,11/7/18,12/5/18,27,606
1543711780-1101,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/adarius-barber-memorial-fund,https://d2g8igdw686xgo.cloudfront.net/22847386_1502234523.9696.jpg,person forehead hairstyle human girl child, people   people   _people style  people   people   people ,0.015625,0.953125,0.015625,0.015625,5000,4000,24,Raised by 24 people in 16 months,0,,8/7/17,12/5/18,484,581
1543712791-1484,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/the-poetry-zone-books-to-business,https://d2g8igdw686xgo.cloudfront.net/32812284_1536445346487207_r.jpeg,table furniture interior design,table furniture interior design,0.25,0.022727273,0.022727273,0.704545455,1240,1035,22,Raised by 22 people in 2 months,   2,https://www.gofundme.com/the-poetry-zone-books-to-business#updates,9/8/18,12/5/18,87,108
1543711933-1158,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/8fcetu-starting-a-business,https://d2g8igdw686xgo.cloudfront.net/29385752_15245975490_r.jpeg,computer case electronic device technology electronics multimedia brand,computer case electronic device technology electronics multimedia brand,0.011904762,0.011904762,0.011904762,0.964285714,635,0,0,Campaign created 7 months ago,0,,4/24/18,12/5/18,224,0
1543712118-1232,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/6hxelo8,https://d2g8igdw686xgo.cloudfront.net/35011702_1543700631681762_r.jpg,motor vehicle car vehicle transport automotive exterior pickup truck automotive tire truck bed part bumper vehicle door,motor vehicle  vehicle  vehicle transport automotive exterior pickup truck automotive tire truck bed part bumper vehicle door,0.005747126,0.005747126,0.982758621,0.005747126,6500,0,0,Campaign created 3 hours ago,   2,https://www.gofundme.com/6hxelo8#updates,12/1/18,12/5/18,3,0
1543713848-1874,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/esthers-start-up-business-campaign,https://d2g8igdw686xgo.cloudfront.net/26806700_fb_1515442277.8202_funds.jpg,human hair color eyebrow beauty nose blond headgear fashion accessory girl cap selfie, people   _people  color  people  beauty  people  blond  people gear fashion accessory  people  cap selfie,0.007462687,0.97761194,0.007462687,0.007462687,10000,1367,25,Raised by 25 people in 10 months,0,,1/8/18,12/5/18,330,66
1543712556-1395,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/funding-somali-business-women,,#N/A,#N/A, , , , ,190500,1346,21,Raised by 21 people in 3 months,   1,https://www.gofundme.com/funding-somali-business-women#updates,8/4/18,12/5/18,122,75
1543711549-1026,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/6glf53s,https://d2g8igdw686xgo.cloudfront.net/34812206_1543117039666059_r.jpg,night restaurant bar city neon neon sign signage,night restaurant bar city neon neon sign signage,0.011904762,0.011904762,0.25,0.726190476,20000,7621,101,Raised by 101 people in 7 days,   5,https://www.gofundme.com/6glf53s#updates,11/24/18,12/5/18,10,663
1543711599-1044,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/tombstone-in-loving-memory-of-ronnie-akins,https://d2g8igdw686xgo.cloudfront.net/34707736_1542762806490377_r.jpeg,woman girl smile trunk fun friendship abdomen family vacation,wo people   people   people  trunk fun friendship abdomen  people  vacation,0.542553191,0.436170213,0.010638298,0.010638298,5000,5135,82,Raised by 82 people in 2 days,0,,11/28/18,12/5/18,6,77
1543712427-1343,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/rons-housebusiness-he-is-blind,https://d2g8igdw686xgo.cloudfront.net/23333202_1503875871.0841.jpg,gym structure room sport venue exercise machine flooring weight training physical fitness floor physical exercise,gym structure room sport venue exercise ma people e flooring weight training physical fitness floor physical exercise,0.785714286,0.006493506,0.201298701,0.006493506,15000,709,6,Raised by 6 people in 15 months,   1,https://www.gofundme.com/rons-housebusiness-he-is-blind#updates,8/27/17,12/5/18,464,68
1543713189-1631,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/FledglingbusinesslostinfireLawford,https://d2g8igdw686xgo.cloudfront.net/28139536_15201133150_r.jpeg,fire geological phenomenon night atmosphere lighting darkness sky midnight heat,fire geological phenomenon night atmosphere lighting darkness sky midnight heat,0.009615385,0.009615385,0.394230769,0.586538462,6350,724,43,Raised by 43 people in 9 months,   2,https://www.gofundme.com/FledglingbusinesslostinfireLawford#updates,3/3/18,12/5/18,276,111
1543713874-1884,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/small-businesses-tools-stolen,https://d2g8igdw686xgo.cloudfront.net/26561522_15145246780_r.jpg,hair person man facial hair beard chin forehead moustache, _people   people   people   people   _people  beard  people   people  moustache,0.010638298,0.968085106,0.010638298,0.010638298,3000,655,11,Raised by 11 people in 11 months,   1,https://www.gofundme.com/small-businesses-tools-stolen#updates,12/28/17,12/5/18,341,38
1543711945-1163,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/creating-jobs-amp-increasing-business,https://d2g8igdw686xgo.cloudfront.net/29471114_15248562730_r.jpeg,product product font service brand,product product font service brand,0.018518519,0.018518519,0.203703704,0.759259259,1.0M,0,0,Campaign created 7 months ago,0,,4/27/18,12/5/18,221,0
1543712179-1255,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/6hkkug0,https://d2g8igdw686xgo.cloudfront.net/34958376_1543677931929677_r.jpg,candle lighting wax still life photography,candle lighting wax still life photography,0.015625,0.015625,0.015625,0.953125,1250,5,1,Raised by 1 person in 2 days,0,,11/29/18,12/5/18,5,0
1543712648-1430,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/desert-sunn-reiki-business,https://d2g8igdw686xgo.cloudfront.net/33741436_1539553075956977_r.jpeg,badlands sky rock escarpment national park canyon formation cloud historic site morning,badlands sky rock es vehicle pment national park canyon formation cloud historic site morning,0.975806452,0.008064516,0.008064516,0.008064516,250,190,7,Raised by 7 people in 1 month,0,,10/14/18,12/5/18,51,38
1543711938-1160,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/5gh8mcw,https://d2g8igdw686xgo.cloudfront.net/29406748_15249825760_r.jpg,black sky light atmosphere darkness black and white night computer wallpaper font midnight,black sky light atmosphere darkness black and white night computer wallpaper font midnight,0.008064516,0.088709677,0.008064516,0.89516129,500,0,0,Campaign created 7 months ago,0,,4/25/18,12/5/18,223,0
1543712992-1559,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/5qtyz-business-start-up-costs,https://d2g8igdw686xgo.cloudfront.net/30254686_15277878700_r.jpeg,hair person human hair color beauty nose girl emotion photography hairstyle blond, _people   people   people   _people  color beauty  people   people  emotion photography  _people style blond,0.008064516,0.975806452,0.008064516,0.008064516,3000,500,14,Raised by 14 people in 6 months,0,,5/31/18,12/5/18,187,85
1543712030-1196,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-expand-my-husband039s-business,https://d2g8igdw686xgo.cloudfront.net/33329154_1539050640143064_r.jpeg,motor vehicle car land vehicle vehicle pickup truck bumper truck automotive wheel system automotive tire rim,motor vehicle  vehicle  land vehicle vehicle pickup truck bumper truck automotive wheel system automotive tire rim,0.006097561,0.006097561,0.981707317,0.006097561,20000,0,0,Campaign created 2 months ago,   3,https://www.gofundme.com/help-expand-my-husband039s-business#updates,9/28/18,12/5/18,67,60
1543711895-1144,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/maartensmerchs,https://d2g8igdw686xgo.cloudfront.net/28458338_15212864490_r.jpeg,road bicycle bicycle cycling mode of transport bicycle saddle racing bicycle bicycle accessory vacation sports equipment hybrid bicycle,road bicycle bicycle cycling mode of transport bicycle saddle racing bicycle bicycle accessory vacation sports equipment hybrid bicycle,0.17816092,0.005747126,0.695402299,0.120689655,1130,0,0,Campaign created 8 months ago,0,,3/17/18,12/5/18,262,0
1543712199-1263,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/helping-small-business-to-market-their-goods,,#N/A,#N/A, , , , ,100000,50,1,Raised by 1 person in 6 days,0,,11/25/18,12/5/18,9,0
1543713598-1781,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/business-vet-fees,https://d2g8igdw686xgo.cloudfront.net/33298622_1538082319848596_r.jpg,dog dog like mammal dog breed west highland white terrier terrier dog breed group small terrier snout cairn terrier carnivoran,dog dog like mammal dog breed west highland white terrier terrier dog breed group small terrier snout cairn terrier  vehicle nivoran,0.004901961,0.004901961,0.887254902,0.102941176,4000,1701,37,Raised by 37 people in 2 months,   5,https://www.gofundme.com/business-vet-fees#updates,9/27/18,12/5/18,68,19
1543713767-1844,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/mjxps-family-business-robbed,https://d2g8igdw686xgo.cloudfront.net/30645106_1529160967465926_r.jpeg,green nature sky text grass energy daytime grassland font atmosphere,green nature sky text grass energy daytime grassland font atmosphere,0.586538462,0.009615385,0.009615385,0.394230769,4000,3085,76,Raised by 76 people in 5 months,   4,https://www.gofundme.com/mjxps-family-business-robbed#updates,6/16/18,12/5/18,171,618
1543713887-1889,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/thomas-olk-family-business-woolsey-fire-relief,https://d2g8igdw686xgo.cloudfront.net/34571472_1542337781834615_r.jpeg,ruins,ruins,0.071428571,0.071428571,0.785714286,0.071428571,30000,6080,38,Raised by 38 people in 15 days,0,,11/15/18,12/5/18,19,227
1543712558-1396,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/starting-bbq-business,https://d2g8igdw686xgo.cloudfront.net/26884668_15196868320_r.jpg,technology electronic device display device,technology electronic device display device,0.018518519,0.018518519,0.018518519,0.944444444,1500,650,14,Raised by 14 people in 10 months,   2,https://www.gofundme.com/starting-bbq-business#updates,1/11/18,12/5/18,327,125
1543713730-1830,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-rebuild-local-business,https://d2g8igdw686xgo.cloudfront.net/23831634_1505274153.828.jpg,water flood natural disaster disaster river floodplain,water flood natural disaster disaster river floodplain,0.418918919,0.013513514,0.554054054,0.013513514,5000,500,7,Raised by 7 people in 14 months,   3,https://www.gofundme.com/help-rebuild-local-business#updates,9/12/17,12/5/18,448,108
1543711567-1033,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/peterstrzok,https://d2g8igdw686xgo.cloudfront.net/32095344_1534121240592616_r.jpeg,official speech government speaker,official speech government speaker,0.022727273,0.022727273,0.022727273,0.931818182,500000,448177,"11,709","Raised by 11,709 people in 3 months",   1,https://www.gofundme.com/peterstrzok#updates,8/13/18,12/5/18,113,46000
